id,screen_name,name,created_at,description,location,url,profile_image_url,statuses_count,friends_count,followers_count,verified
1058051748,TXRandy14,Randy Weber,Thu Jan 03 15:30:06 +0000 2013,Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14,"Friendswood, TX",http://t.co/8FFRq13svl,http://pbs.twimg.com/profile_images/616654502184263680/na4q3hZH_normal.jpg,1778,387,5227,True
1058256326,RepChrisCollins,Rep. Chris Collins,Thu Jan 03 16:55:01 +0000 2013,Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce,,,http://pbs.twimg.com/profile_images/621321986224971776/TuwHi18w_normal.jpg,2528,340,5829,True
1058345042,RepTomRice,Congressman Tom Rice,Thu Jan 03 17:35:05 +0000 2013,Proudly representing South Carolina's 7th Congressional District. Find me on FB at http://t.co/IB00psnMmQ.,,http://t.co/S6o0ATa6,http://pbs.twimg.com/profile_images/3087214605/bd94115eb4cbc13f474eea2d678e6372_normal.jpeg,573,319,4870,True
1058460818,RepHolding,George Holding,Thu Jan 03 18:27:36 +0000 2013,"Official Twitter account for Congressman George Holding, representing North Carolina's 13th Congressional District.",,http://t.co/zH2CxxmUzu,http://pbs.twimg.com/profile_images/3150091370/d56a137e58b7041e23d74c676f4d5c39_normal.jpeg,607,259,5605,True
1058520120,RepDuckworth,Tammy Duckworth,Thu Jan 03 18:59:33 +0000 2013,"Official Twitter account for Tammy Duckworth's congressional office. Posts by staff unless signed - TD. For more information, visit",,http://t.co/P41iF0yw,http://pbs.twimg.com/profile_images/673882053297971201/qKILnJZ8_normal.jpg,1685,8252,14013,True
1058717720,RepAnnieKuster,Ann McLane Kuster,Thu Jan 03 20:29:22 +0000 2013,Honored to serve the people of New Hampshire’s Second District in Congress.,NH's 2nd District,http://t.co/1ApjVskz3y,http://pbs.twimg.com/profile_images/378800000613548009/634270ae77eef7c27656752dae94acbc_normal.jpeg,1719,3102,7623,True
1058807868,RepDeSantis,Ron DeSantis,Thu Jan 03 21:20:17 +0000 2013,The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!,,http://t.co/4sM6hwE6,http://pbs.twimg.com/profile_images/3117010951/c752457942317fd0ba6f44dbe722964a_normal.jpeg,1699,1430,8294,True
1058917562,RepDerekKilmer,Rep. Derek Kilmer,Thu Jan 03 22:15:02 +0000 2013,Representing Washington's 6th District in the House of Representatives           FB: https://t.co/byKNKNH1UP,,http://t.co/Gxq1ZBnp,http://pbs.twimg.com/profile_images/3061515311/fbcaf3a229791fc9d7e1de0a5198a2fb_normal.jpeg,1251,128,6317,True
1060370282,RepMullin,Markwayne Mullin,Fri Jan 04 12:43:55 +0000 2013,Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress.,Oklahoma,http://t.co/kI4gVUPg,http://pbs.twimg.com/profile_images/598176618813726720/nBZLDgZC_normal.jpg,1614,1127,6461,True
1060487274,RepDougCollins,Doug Collins,Fri Jan 04 13:43:55 +0000 2013,"Working for Georgia's 9th Congressional District. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.","Gainesville, Georgia",http://t.co/puX4lAK5i5,http://pbs.twimg.com/profile_images/441354935452438528/U0f-n0Iv_normal.jpeg,2357,881,5121,True
1060984272,RepEsty,Elizabeth Esty,Fri Jan 04 17:36:04 +0000 2013,"Mom, community advocate, and U.S. Representative for Connecticut's 5th Congressional District. This is the official account for my Congressional office.","Cheshire, CT",http://t.co/fzRpgWawFH,http://pbs.twimg.com/profile_images/446012442053595136/F8Ivbrm2_normal.jpeg,3208,1302,7466,True
1061029050,SenatorHeitkamp,Sen. Heidi Heitkamp,Fri Jan 04 17:57:48 +0000 2013,"Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/sdBAQYB6b4.
Instagram: http://t.co/o02Q1Pt8AC",,http://t.co/9NWVrvErQZ,http://pbs.twimg.com/profile_images/671449190988288002/o_xgW2Sc_normal.jpg,6290,642,18448,True
1061385474,RepLujanGrisham,MichelleLujanGrisham,Fri Jan 04 20:46:03 +0000 2013,"Proudly serving New Mexico's 1st Congressional District. Serving on House Agriculture, Budget and Oversight & Government Reform Committees.","Albuquerque, NM",http://t.co/JTF7ecJNl5,http://pbs.twimg.com/profile_images/615932517552664576/tFxLs2Yu_normal.jpg,2415,490,10110,True
10615232,ChuckGrassley,ChuckGrassley,Mon Nov 26 15:17:02 +0000 2007,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",Iowa,https://t.co/CM45Tl33ts,http://pbs.twimg.com/profile_images/37902202/Official_Portrait__cropped__September_2007_normal.jpg,4507,14368,98429,True
1064206014,TulsiPress,Rep. Tulsi Gabbard,Sat Jan 05 22:57:50 +0000 2013,Aloha and welcome to the official Twitter page of Congresswoman Tulsi Gabbard (HI-02). Account managed by staff. Tulsi tweets signed TG.,,http://t.co/gMf3nFbm,http://pbs.twimg.com/profile_images/3599981746/f2ae50b7a68febfe1c960e713e5a0ff4_normal.jpeg,1579,821,23875,True
1065995022,RepWalorski,Jackie Walorski,Sun Jan 06 15:41:40 +0000 2013,Representing Indiana's Second Congressional District,,http://t.co/1c3JNm0kJ5,http://pbs.twimg.com/profile_images/3073698516/4b6a35b98362ceeac03b29fcc016f9ae_normal.jpeg,3128,705,5812,True
1068481578,SenAngusKing,Senator Angus King,Mon Jan 07 14:52:27 +0000 2013,News from the office of Independent U.S. Senator Angus King of Maine. Operated by the Press Team. Following/retweeting does not equal an endorsement.,,http://t.co/i9TZOoGqOm,http://pbs.twimg.com/profile_images/378800000406004520/c5e846a94969202654cf1ac5fafc3659_normal.jpeg,2094,539,15667,True
1068499286,RepDennyHeck,Denny Heck,Mon Jan 07 14:55:36 +0000 2013,"Proudly representing #WA10 in U.S. Congress. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan. Care about veterans, family-wage jobs & economic growth.","South Puget Sound, WA",http://t.co/GdaqBMIimV,http://pbs.twimg.com/profile_images/603584814885818369/Ut-OXWMg_normal.jpg,2108,1016,4519,True
1069124515,RepLaMalfa,Rep. Doug LaMalfa,Mon Jan 07 20:07:58 +0000 2013,"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",Northern California,http://t.co/zhUYypSZHQ,http://pbs.twimg.com/profile_images/532998035416969216/vtCyv9Ze_normal.jpeg,294,989,3287,False
1071102246,RepHuffman,Rep. Jared Huffman,Tue Jan 08 14:52:00 +0000 2013,"Congressman for California's North Coast. 
On Facebook at http://t.co/Xvh4af3Qid",California's North Coast,http://t.co/1EuZeNQsh6,http://pbs.twimg.com/profile_images/651435990100279296/5lQBk2Ut_normal.png,1447,764,6202,True
1071402577,SenatorFischer,Senator Deb Fischer,Tue Jan 08 16:49:07 +0000 2013,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,,http://t.co/0O49SY7v,http://pbs.twimg.com/profile_images/519896467318665216/2bTZrb9E_normal.jpeg,2554,160,15857,True
1071900114,RepTedYoho,Ted Yoho,Tue Jan 08 20:25:18 +0000 2013,Representing Florida's 3rd Congressional District; large animal veterinarian; conservative business owner; Member of @HFACRepublicans & @HouseAgNews Committees,,http://t.co/1SnsOiv0kl,http://pbs.twimg.com/profile_images/3083908995/d2f7b2b99b63d01db6a3dbddc0680655_normal.jpeg,667,320,6311,True
1072008757,RepChrisStewart,Rep. Chris Stewart,Tue Jan 08 21:08:19 +0000 2013,"Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. Visit http://t.co/GUW6weAva6",Utah and DC,http://stewart.house.gov,http://pbs.twimg.com/profile_images/378800000828740520/3a6960ab5bb904c7a6e73e6099e2b2ef_normal.jpeg,1888,927,4389,True
1072382221,RepMattSalmon,Matt Salmon,Wed Jan 09 00:05:57 +0000 2013,Proudly representing the 5th District of #AZ in Congress #AZ05 Visit my page at https://t.co/eZcoayceBJ,,https://t.co/fjnBPs7B0s,http://pbs.twimg.com/profile_images/715213034508132352/ZYU3Xvmd_normal.jpg,3693,2530,9250,True
1072467470,RepSeanMaloney,Sean Patrick Maloney,Wed Jan 09 01:00:33 +0000 2013,Proud to represent New York's 18th Congressional District,"Cold Spring, NY ",http://t.co/O14V3nEA,http://pbs.twimg.com/profile_images/655059942882197504/2KpXm3Gd_normal.jpg,1811,465,5139,True
1074101017,SusanWBrooks,Susan W. Brooks,Wed Jan 09 15:30:38 +0000 2013,Serving the good people of Indiana’s 5th District in Congress.,,http://t.co/0ZSaz3JtOT,http://pbs.twimg.com/profile_images/3086846949/e579bc4efb03e7f58995d4c27285de56_normal.jpeg,1571,486,7086,True
1074129612,RepVeasey,Rep. Marc Veasey,Wed Jan 09 15:49:27 +0000 2013,"Proudly representing Fort Worth-Dallas. Born and reared in the Metroplex. Husband, father and Dallas Cowboys fan. #TX33, #DFW","Dallas-Fort Worth, Texas",http://t.co/MuCQE2uJdQ,http://pbs.twimg.com/profile_images/712758485096640512/1rC7nU-1_normal.jpg,1880,2720,6017,True
1074412920,RepPaulCook,Rep. Paul Cook,Wed Jan 09 17:43:44 +0000 2013,Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi,"Apple Valley, California ",http://t.co/vy6a8Rp8SU,http://pbs.twimg.com/profile_images/598193321467637761/pYlCDAPS_normal.jpg,1467,1190,4287,True
1074480192,SenTedCruz,Senator Ted Cruz,Wed Jan 09 18:11:37 +0000 2013,Representing the State of Texas in the United States Senate.,"Houston, Texas",http://t.co/56xJsmj575,http://pbs.twimg.com/profile_images/3396959978/e4a57f152c58effe0df43affb2e27ab8_normal.jpeg,4003,7477,778069,True
1074518754,SenatorBaldwin,Sen. Tammy Baldwin,Wed Jan 09 18:29:44 +0000 2013,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.","Washington, D.C.",http://t.co/p7vErFeoRD,http://pbs.twimg.com/profile_images/656152457756692481/jq9YvUuw_normal.jpg,6955,2402,18876,True
1077121945,RepLoisFrankel,Rep. Lois Frankel,Thu Jan 10 16:58:38 +0000 2013,Representative from Florida's 22nd Congressional District,,https://t.co/37xQoov5rz,http://pbs.twimg.com/profile_images/673887238736863232/0LUL8NQ4_normal.jpg,2796,1418,6929,True
1077446982,RepRWilliams,Rep. Roger Williams,Thu Jan 10 19:21:22 +0000 2013,I am honored to represent the 25th Congressional District of Texas. Member of @FinancialCmte.,Central Texas,http://t.co/JVoBEX18T4,http://pbs.twimg.com/profile_images/436164065665093632/aealPAUa_normal.jpeg,1648,590,3285,True
1080509366,RepBillFoster,Bill Foster,Fri Jan 11 18:17:11 +0000 2013,Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois,"Naperville, IL ",http://t.co/bEgQtuCKXN,http://pbs.twimg.com/profile_images/654326440079429632/YqEhH_t7_normal.jpg,1923,1922,5730,True
1080844782,RepSinema,Kyrsten Sinema,Fri Jan 11 20:31:03 +0000 2013,"Official twitter feed of U.S. Congresswoman Kyrsten Sinema, serving Arizona's 9th District.",,https://t.co/49vmMW75Lr,http://pbs.twimg.com/profile_images/3108271240/743fe6773d71d58200c7915f19222980_normal.jpeg,7424,770,12196,True
1083448909,RepFilemonVela,US Rep. Filemon Vela,Sat Jan 12 16:24:06 +0000 2013,U.S. Congressman for the 34th District of Texas - Privileged to represent South Texans.,"District 34, Texas",http://t.co/c4zAIMBGjU,http://pbs.twimg.com/profile_images/463712019523194880/pM1rWMry_normal.jpeg,931,266,3932,True
108376246,LorettaSanchez,Loretta Sanchez,Mon Jan 25 19:08:10 +0000 2010,I proudly represent California's 46th district in Congress. I serve as a Senior Member on both the Armed Services and Homeland Security Committees.,"Orange County, CA",http://t.co/PUiqbha0FR,http://pbs.twimg.com/profile_images/722106440240869376/v7ccmDmr_normal.png,2605,12067,17721,True
1089334250,RepAndyBarr,Rep. Andy Barr,Mon Jan 14 15:29:49 +0000 2013,Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington,"Lexington, KY",http://t.co/XNnauaj5,http://pbs.twimg.com/profile_images/648576649143943169/DGzR6q1Q_normal.jpg,2230,1186,7040,True
1089859058,CongressmanRuiz,Raul Ruiz,Mon Jan 14 18:58:43 +0000 2013,Emergency room doctor and public servant. Proudly serving California's 36th Congressional District.,,http://t.co/sgTdElO4,http://pbs.twimg.com/profile_images/3109371960/abcc78e171a1bc5232a05b221ac6d6a3_normal.jpeg,354,3,3593,False
1090002997,RepKirkpatrick,Rep. Ann Kirkpatrick,Mon Jan 14 19:53:56 +0000 2013,"Congresswoman Ann Kirkpatrick, Arizona's District One, is a member of the House Agriculture Committee and the Transportation & Infrastructure Committee.","Flagstaff, AZ",http://t.co/qKJPWvcPVM,http://pbs.twimg.com/profile_images/3292420370/f5520be836be9083d0d91386cea0a2d1_normal.jpeg,1636,1094,7867,True
109071031,SenatorCardin,Senator Ben Cardin,Wed Jan 27 22:03:53 +0000 2010,"U.S. Sen. Ben Cardin- #MD 
Ranking Member- Foreign Relations Committee
IG- https://t.co/g3YzVDoXG7

FB- https://t.co/quMA3SHbqI
Medium- https://t.co/JNnAUMemAO",#MD/DC,http://t.co/z9qFNLiW0I,http://pbs.twimg.com/profile_images/727576102860886017/0CM-nWw9_normal.jpg,6454,387,33738,True
1092757885,RepJBridenstine,Jim Bridenstine,Tue Jan 15 17:33:38 +0000 2013,Congressman Jim Bridenstine has the honor of serving Oklahoma's First Congressional District.,,http://t.co/jyfO2zOWnk,http://pbs.twimg.com/profile_images/378800000762626692/6cfa7621ee98bce9ca610c6011676e9c_normal.jpeg,1398,3499,17448,True
109287731,SenatorShaheen,Sen. Jeanne Shaheen,Thu Jan 28 15:22:44 +0000 2010,I am currently serving in the United States Senate and am proud to serve the people of New Hampshire. http://t.co/6CyyCKZ22b,"Washington, DC",http://t.co/6hHVU7gHqa,http://pbs.twimg.com/profile_images/695028042301841408/5YZWeTsR_normal.jpg,4316,5597,27046,True
1092979962,RepCheri,Rep. Cheri Bustos,Tue Jan 15 19:15:03 +0000 2013,Representing the great people of the 17th District of Illinois in the U.S. House of Representatives,"Washington, D.C. & Illinois",http://t.co/JZbT6dxm,http://pbs.twimg.com/profile_images/725811488544399360/pGCLInZm_normal.jpg,1512,5999,9791,True
1096059529,SenatorRisch,Senator Jim Risch,Wed Jan 16 18:58:23 +0000 2013,United States Senator Jim Risch (R-ID),"Boise & Washington, D.C.",http://t.co/EnaXWE63,http://pbs.twimg.com/profile_images/3161364149/32f2f83385840438a393070a7e426bde_normal.jpeg,420,48,12989,True
1099199839,MartinHeinrich,Martin Heinrich,Thu Jan 17 20:24:19 +0000 2013,United States Senator from New Mexico,,http://t.co/H0fgRR2v,http://pbs.twimg.com/profile_images/472115942248308737/BjSCAw32_normal.jpeg,2117,300,10102,True
110545675,RepDianeBlack,Diane Black,Mon Feb 01 22:58:22 +0000 2010,"I work for the people of Tennessee’s 6th Congressional District. Wife to Dave, mom of three, and proud Mimi to six grandchildren. Registered nurse.","Gallatin, TN",http://t.co/gZ7oGBeE9o,http://pbs.twimg.com/profile_images/717781240556994560/d89MsvIc_normal.jpg,4222,1690,13033,True
111635527,RepGeneGreen,Rep. Gene Green,Fri Feb 05 16:37:13 +0000 2010,Proudly serving the 29th Congressional District of Texas in Houston & East Harris County since 1993; Proud father of 2 & grandfather of 4; Texans & Astros fan,"Houston, TX",http://t.co/qUhjRXrVF9,http://pbs.twimg.com/profile_images/2751098783/1d49724cb36f59251adb5db6b44407a2_normal.jpeg,638,265,8293,True
111635980,repjoecrowley,Rep. Joe Crowley,Fri Feb 05 16:39:11 +0000 2010,Proudly representing New York’s 14th Congressional District. Vice Chair of @HouseDemocrats. http://t.co/y9inUi3Oyt,,http://t.co/rpWa8vRFR7,http://pbs.twimg.com/profile_images/652523435990601729/WGxox10s_normal.jpg,2619,710,10030,True
112740986,RepRonKind,Rep. Ron Kind,Tue Feb 09 15:14:02 +0000 2010,Member of the U.S. House of Representatives from Wisconsin's Third Congressional District.,"Washington, DC",http://t.co/SLDLcEvDEk,http://pbs.twimg.com/profile_images/1347275814/2010-04-23_normal.jpg,941,553,7754,True
1128514404,RepDavidValadao,Rep. David Valadao,Mon Jan 28 16:19:14 +0000 2013,Proudly Representing California's 21st Congressional District.,"Hanford, California",http://t.co/qjFJoAGl,http://pbs.twimg.com/profile_images/3192935994/9bb205b6df88e6f86ca2ddf3f7ae04cb_normal.jpeg,601,292,4663,True
1128781184,RepMurphyFL,Rep. Patrick Murphy,Mon Jan 28 17:56:38 +0000 2013,"Rep. Patrick E. Murphy represents Martin, St. Lucie, and northern Palm Beach counties in the U.S. House of Representatives.",Florida 18,http://t.co/yBTcpUI0cT,http://pbs.twimg.com/profile_images/574354842677706752/NAzlBdmr_normal.jpeg,1641,736,7313,True
1134292500,RepBetoORourke,Rep. Beto O'Rourke,Wed Jan 30 14:52:51 +0000 2013,US Congress - El Paso,"El Paso, TX",https://t.co/Qj93LsYeQ4,http://pbs.twimg.com/profile_images/675759819001692161/nMdGIcBI_normal.png,3156,208,13892,True
1135486501,RepScottPeters,Rep. Scott Peters,Wed Jan 30 23:28:14 +0000 2013,Serving #CA52 / Armed Services & Judiciary Committees / @HouseNewDems / Innovation / Science / Environment & Climate / Military / Vets / Border / Urbanism,"San Diego, Poway, Coronado",http://t.co/IHSIVXNojp,http://pbs.twimg.com/profile_images/593412213693485058/FKIBIZGV_normal.jpg,4652,833,6716,True
